xmin,ymin,xmax,ymax,confidence,class,name,time
324.0,727.0,543.0,815.0,0.28486841917037964,73,book,1
508.0,686.0,724.0,752.0,0.3313932716846466,73,book,1
0.0,480.0,204.0,856.0,0.3697260618209839,0,person,1
583.0,408.0,812.0,614.0,0.8589116930961609,62,tv,1
977.0,613.0,1144.0,847.0,0.25028103590011597,59,bed,2
324.0,726.0,543.0,815.0,0.2966620922088623,73,book,2
513.0,672.0,719.0,743.0,0.2978832423686981,73,book,2
0.0,482.0,206.0,858.0,0.5895337462425232,0,person,2
582.0,409.0,812.0,614.0,0.860059916973114,62,tv,2
61.0,415.0,256.0,618.0,0.2755216956138611,62,tv,3
996.0,632.0,1146.0,853.0,0.2929042875766754,0,person,3
325.0,730.0,552.0,825.0,0.39711230993270874,73,book,3
0.0,494.0,217.0,855.0,0.6708746552467346,0,person,3
586.0,423.0,816.0,627.0,0.8683893084526062,62,tv,3
525.0,701.0,732.0,773.0,0.2787889242172241,73,book,4
333.0,744.0,570.0,827.0,0.30071935057640076,73,book,4
0.0,505.0,236.0,855.0,0.6792417168617249,0,person,4
597.0,437.0,827.0,638.0,0.8750861287117004,62,tv,4
334.0,744.0,570.0,827.0,0.28025180101394653,73,book,5
526.0,700.0,731.0,774.0,0.2871732711791992,73,book,5
0.0,505.0,236.0,854.0,0.6734634637832642,0,person,5
598.0,437.0,827.0,639.0,0.8659334182739258,62,tv,5
532.0,721.0,732.0,795.0,0.42997822165489197,73,book,6
0.0,526.0,219.0,850.0,0.6747590899467468,0,person,6
606.0,453.0,835.0,663.0,0.875820517539978,62,tv,6
340.0,779.0,566.0,860.0,0.27372413873672485,73,book,7
0.0,542.0,224.0,858.0,0.30772653222084045,0,person,7
609.0,469.0,836.0,678.0,0.8752647042274475,62,tv,7
0.0,543.0,224.0,858.0,0.2519332766532898,0,person,8
340.0,779.0,567.0,860.0,0.30794021487236023,73,book,8
609.0,469.0,836.0,677.0,0.8748752474784851,62,tv,8
596.0,477.0,824.0,691.0,0.8500063419342041,62,tv,9
596.0,477.0,824.0,690.0,0.8545705676078796,62,tv,10
1.0,578.0,191.0,850.0,0.3939479887485504,16,dog,11
578.0,492.0,814.0,694.0,0.8821943402290344,62,tv,11
1025.0,705.0,1147.0,851.0,0.26827579736709595,0,person,12
1.0,591.0,176.0,852.0,0.557697594165802,16,dog,12
573.0,495.0,813.0,699.0,0.8514114022254944,62,tv,12
1.0,592.0,177.0,852.0,0.5169429183006287,16,dog,13
573.0,495.0,812.0,697.0,0.8567136526107788,62,tv,13
515.0,759.0,712.0,825.0,0.3048986792564392,73,book,14
1.0,591.0,184.0,852.0,0.46303147077560425,16,dog,14
577.0,492.0,815.0,693.0,0.8611964583396912,62,tv,14
1023.0,686.0,1146.0,849.0,0.3232738673686981,0,person,15
1.0,588.0,195.0,853.0,0.6390446424484253,16,dog,15
588.0,482.0,817.0,700.0,0.6478933691978455,62,tv,15
