xmin,ymin,xmax,ymax,confidence,class,name,time
933.0,547.0,1080.0,718.0,0.27357497811317444,56,chair,1
0.0,31.0,234.0,831.0,0.4127485156059265,0,person,1
68.0,483.0,393.0,858.0,0.295735239982605,0,person,2
2.0,32.0,218.0,762.0,0.42952850461006165,0,person,2
94.0,32.0,906.0,833.0,0.2535138726234436,0,person,3
0.0,25.0,246.0,836.0,0.4034717381000519,0,person,3
91.0,451.0,439.0,856.0,0.26207125186920166,0,person,4
2.0,19.0,258.0,803.0,0.4229517877101898,0,person,4
93.0,455.0,456.0,856.0,0.3261566162109375,0,person,5
2.0,20.0,256.0,802.0,0.4742852747440338,0,person,5
984.0,476.0,1143.0,698.0,0.3248734176158905,56,chair,6
111.0,452.0,435.0,855.0,0.37863051891326904,0,person,6
4.0,22.0,272.0,829.0,0.5146040320396423,0,person,6
609.0,115.0,962.0,828.0,0.2591264545917511,0,person,7
712.0,624.0,836.0,794.0,0.30390846729278564,41,cup,7
116.0,443.0,449.0,855.0,0.4732099175453186,0,person,7
3.0,22.0,280.0,826.0,0.6524003148078918,0,person,7
117.0,442.0,455.0,851.0,0.38268306851387024,0,person,8
3.0,28.0,298.0,830.0,0.6008215546607971,0,person,8
246.0,11.0,666.0,763.0,0.30222633481025696,0,person,9
119.0,442.0,468.0,853.0,0.5454599261283875,0,person,9
3.0,26.0,309.0,823.0,0.6444700360298157,0,person,9
251.0,15.0,677.0,756.0,0.2903948128223419,0,person,10
132.0,439.0,478.0,856.0,0.5924450159072876,0,person,10
3.0,32.0,322.0,829.0,0.7277421951293945,0,person,10
1008.0,422.0,1157.0,683.0,0.2544066309928894,56,chair,11
245.0,13.0,680.0,758.0,0.30842992663383484,0,person,11
132.0,437.0,478.0,856.0,0.5861751437187195,0,person,11
3.0,32.0,322.0,829.0,0.7250174880027771,0,person,11
272.0,15.0,690.0,777.0,0.2872937321662903,0,person,12
135.0,426.0,485.0,855.0,0.5447869300842285,0,person,12
3.0,30.0,334.0,829.0,0.6800590753555298,0,person,12
2.0,19.0,335.0,777.0,0.45314934849739075,0,person,13
135.0,404.0,483.0,848.0,0.49069491028785706,0,person,13
2.0,20.0,349.0,839.0,0.39539045095443726,0,person,14
2.0,26.0,360.0,852.0,0.44504430890083313,0,person,15
3.0,12.0,359.0,852.0,0.37208500504493713,0,person,16
3.0,13.0,361.0,855.0,0.34728971123695374,0,person,17
141.0,350.0,500.0,852.0,0.3072519898414612,0,person,18
4.0,12.0,363.0,851.0,0.48192620277404785,0,person,18
154.0,345.0,548.0,851.0,0.3442665636539459,0,person,19
4.0,8.0,370.0,847.0,0.53704434633255,0,person,19
166.0,358.0,516.0,849.0,0.2600584030151367,0,person,20
291.0,9.0,706.0,644.0,0.2786465883255005,0,person,20
4.0,15.0,374.0,842.0,0.48039570450782776,0,person,20
4.0,18.0,376.0,841.0,0.6061996817588806,0,person,21
4.0,20.0,376.0,843.0,0.5450688600540161,0,person,22
3.0,18.0,377.0,841.0,0.5435076951980591,0,person,23
4.0,18.0,385.0,851.0,0.6181730031967163,0,person,24
3.0,21.0,397.0,864.0,0.4826295077800751,0,person,25
701.0,0.0,1123.0,641.0,0.30276939272880554,0,person,26
4.0,19.0,417.0,857.0,0.399253249168396,0,person,26
12.0,10.0,619.0,864.0,0.4430285692214966,0,person,27
4.0,14.0,403.0,851.0,0.5207527279853821,0,person,28
4.0,15.0,403.0,849.0,0.4984539747238159,0,person,29
3.0,17.0,401.0,847.0,0.4878331124782562,0,person,30
3.0,15.0,401.0,851.0,0.496229887008667,0,person,31
3.0,10.0,402.0,851.0,0.5265496373176575,0,person,32
3.0,11.0,401.0,849.0,0.5707154273986816,0,person,33
3.0,10.0,400.0,849.0,0.5917130708694458,0,person,34
