xmin,ymin,xmax,ymax,confidence,class,name,time
0.0,29.0,257.0,842.0,0.42413198947906494,0,person,1
0.0,27.0,248.0,840.0,0.4281378388404846,0,person,2
161.0,14.0,608.0,779.0,0.2837691903114319,0,person,3
80.0,473.0,405.0,858.0,0.3509674072265625,0,person,3
0.0,25.0,243.0,840.0,0.4194563031196594,0,person,3
466.0,765.0,875.0,864.0,0.27227193117141724,66,keyboard,4
95.0,460.0,445.0,857.0,0.43880200386047363,0,person,4
3.0,23.0,254.0,822.0,0.477194219827652,0,person,4
95.0,460.0,448.0,857.0,0.4094140827655792,0,person,5
3.0,26.0,254.0,822.0,0.46401581168174744,0,person,5
204.0,14.0,660.0,772.0,0.2706981599330902,0,person,6
973.0,526.0,1137.0,694.0,0.3836032450199127,56,chair,6
110.0,448.0,438.0,857.0,0.4934312701225281,0,person,6
4.0,26.0,267.0,840.0,0.6009710431098938,0,person,6
219.0,15.0,659.0,765.0,0.34630534052848816,0,person,7
117.0,441.0,447.0,856.0,0.4459604322910309,0,person,7
3.0,24.0,279.0,831.0,0.6445171236991882,0,person,7
497.0,756.0,965.0,864.0,0.2570287585258484,66,keyboard,8
216.0,14.0,671.0,792.0,0.3526308536529541,0,person,8
121.0,443.0,455.0,854.0,0.45017576217651367,0,person,8
3.0,25.0,294.0,833.0,0.6469512581825256,0,person,8
223.0,12.0,667.0,759.0,0.4767092168331146,0,person,9
126.0,438.0,465.0,856.0,0.6188023090362549,0,person,9
3.0,24.0,305.0,828.0,0.6290386319160461,0,person,9
228.0,9.0,681.0,757.0,0.29831746220588684,0,person,10
133.0,452.0,478.0,856.0,0.5438504815101624,0,person,10
3.0,35.0,324.0,828.0,0.6641013622283936,0,person,10
227.0,9.0,681.0,762.0,0.3078044652938843,0,person,11
134.0,450.0,477.0,856.0,0.5652191638946533,0,person,11
3.0,35.0,325.0,828.0,0.6526669859886169,0,person,11
252.0,11.0,701.0,771.0,0.3010112941265106,0,person,12
140.0,459.0,483.0,858.0,0.5804109573364258,0,person,12
2.0,27.0,337.0,837.0,0.6891560554504395,0,person,12
272.0,15.0,726.0,751.0,0.2638549506664276,0,person,13
3.0,23.0,332.0,827.0,0.4565163850784302,0,person,13
137.0,428.0,478.0,853.0,0.49170342087745667,0,person,13
136.0,440.0,486.0,853.0,0.25818291306495667,0,person,14
1.0,20.0,352.0,837.0,0.4050856828689575,0,person,14
623.0,34.0,1057.0,825.0,0.28632473945617676,0,person,15
4.0,23.0,331.0,853.0,0.500946044921875,0,person,15
666.0,42.0,1028.0,788.0,0.2525847554206848,0,person,16
116.0,347.0,640.0,861.0,0.27179139852523804,0,person,16
3.0,14.0,355.0,849.0,0.38761863112449646,0,person,16
115.0,348.0,644.0,861.0,0.3371089994907379,0,person,17
4.0,13.0,353.0,850.0,0.40700703859329224,0,person,17
140.0,356.0,506.0,855.0,0.44168993830680847,0,person,18
5.0,10.0,365.0,848.0,0.5123775005340576,0,person,18
154.0,356.0,533.0,853.0,0.46010905504226685,0,person,19
4.0,13.0,369.0,847.0,0.5599896311759949,0,person,19
4.0,19.0,376.0,859.0,0.5552625060081482,0,person,20
5.0,18.0,377.0,858.0,0.6261873245239258,0,person,21
4.0,21.0,379.0,845.0,0.6018022894859314,0,person,22
4.0,21.0,379.0,843.0,0.5873888731002808,0,person,23
4.0,17.0,385.0,862.0,0.6368327736854553,0,person,24
234.0,463.0,572.0,857.0,0.28978341817855835,0,person,25
3.0,19.0,397.0,864.0,0.43089449405670166,0,person,25
9.0,5.0,618.0,864.0,0.4634500741958618,0,person,26
3.0,14.0,415.0,856.0,0.4500837028026581,0,person,27
703.0,0.0,1111.0,624.0,0.2850742042064667,0,person,28
2.0,13.0,407.0,858.0,0.4857539236545563,0,person,28
2.0,13.0,407.0,856.0,0.4654948115348816,0,person,29
