xmin,ymin,xmax,ymax,confidence,class,name,time
3.0,8.0,346.0,755.0,0.36138686537742615,61,toilet,23
798.0,550.0,1147.0,701.0,0.3241247236728668,44,spoon,26
244.0,32.0,720.0,835.0,0.25694864988327026,0,person,44
197.0,31.0,448.0,835.0,0.3203675448894501,0,person,49
184.0,61.0,437.0,831.0,0.32458314299583435,0,person,50
328.0,0.0,434.0,191.0,0.34170854091644287,0,person,50
165.0,127.0,401.0,852.0,0.3233848810195923,0,person,53
335.0,279.0,651.0,409.0,0.39023685455322266,8,boat,60
28.0,166.0,284.0,851.0,0.364620566368103,0,person,91
27.0,168.0,289.0,851.0,0.3307960629463196,0,person,92
27.0,166.0,283.0,852.0,0.3323487937450409,0,person,93
713.0,86.0,742.0,142.0,0.33121705055236816,0,person,100
208.0,0.0,346.0,107.0,0.2547992765903473,36,skateboard,103
127.0,4.0,1062.0,856.0,0.2801533639431,0,person,103
561.0,184.0,912.0,469.0,0.3891189396381378,25,umbrella,142
546.0,184.0,885.0,457.0,0.2530638575553894,25,umbrella,144
519.0,198.0,843.0,429.0,0.44576868414878845,25,umbrella,146
62.0,0.0,328.0,318.0,0.3236868977546692,0,person,147
64.0,0.0,324.0,321.0,0.30948159098625183,0,person,148
89.0,0.0,337.0,284.0,0.46968650817871094,0,person,149
105.0,0.0,448.0,303.0,0.3409236669540405,0,person,150
0.0,647.0,77.0,850.0,0.4225641191005707,0,person,151
0.0,647.0,78.0,850.0,0.4648539423942566,0,person,152
189.0,0.0,494.0,295.0,0.26519066095352173,0,person,157
191.0,0.0,491.0,285.0,0.2706391215324402,0,person,158
231.0,615.0,441.0,859.0,0.311576783657074,0,person,162
1.0,358.0,213.0,852.0,0.39663299918174744,0,person,163
1.0,357.0,213.0,852.0,0.41617557406425476,0,person,164
1.0,360.0,213.0,853.0,0.42419567704200745,0,person,165
203.0,0.0,388.0,162.0,0.25764018297195435,0,person,168
194.0,528.0,248.0,602.0,0.2766370177268982,74,clock,181
212.0,535.0,266.0,606.0,0.6726531386375427,74,clock,182
212.0,535.0,266.0,606.0,0.6781663298606873,74,clock,183
230.0,535.0,287.0,611.0,0.5657690167427063,74,clock,184
134.0,0.0,561.0,302.0,0.25089746713638306,28,suitcase,188
135.0,0.0,560.0,302.0,0.2942827343940735,28,suitcase,189
790.0,494.0,979.0,859.0,0.2966908812522888,27,tie,190
287.0,565.0,348.0,642.0,0.34742164611816406,74,clock,190
147.0,449.0,230.0,538.0,0.4320980906486511,67,cell phone,190
146.0,430.0,234.0,519.0,0.2756345570087433,67,cell phone,191
1.0,429.0,316.0,858.0,0.33708885312080383,0,person,193
1.0,356.0,309.0,853.0,0.2591974139213562,0,person,194
89.0,0.0,530.0,338.0,0.34380021691322327,25,umbrella,194
785.0,581.0,959.0,850.0,0.5212627649307251,39,bottle,194
0.0,360.0,310.0,854.0,0.2527909278869629,0,person,195
87.0,0.0,528.0,340.0,0.2828654646873474,25,umbrella,195
785.0,580.0,959.0,850.0,0.5057985186576843,39,bottle,195
757.0,625.0,936.0,853.0,0.26733914017677307,39,bottle,196
756.0,627.0,936.0,853.0,0.3175875246524811,41,cup,196
19.0,0.0,490.0,834.0,0.3603995144367218,0,person,196
1.0,291.0,256.0,601.0,0.25264883041381836,0,person,198
219.0,644.0,284.0,721.0,0.29426929354667664,74,clock,198
720.0,666.0,899.0,860.0,0.49739784002304077,41,cup,199
222.0,629.0,286.0,709.0,0.6180950403213501,74,clock,199
718.0,665.0,896.0,860.0,0.2755222022533417,41,cup,200
718.0,663.0,897.0,860.0,0.35953113436698914,39,bottle,200
222.0,615.0,287.0,693.0,0.49520689249038696,74,clock,200
718.0,665.0,897.0,860.0,0.2646932303905487,41,cup,201
7.0,21.0,417.0,847.0,0.26638931035995483,0,person,201
718.0,662.0,897.0,861.0,0.3261494040489197,39,bottle,201
222.0,615.0,287.0,693.0,0.5410038828849792,74,clock,201
2.0,0.0,319.0,385.0,0.31210359930992126,25,umbrella,202
706.0,677.0,883.0,852.0,0.41633087396621704,41,cup,202
4.0,14.0,409.0,858.0,0.2600635886192322,0,person,203
193.0,615.0,263.0,692.0,0.3703630864620209,74,clock,203
691.0,692.0,866.0,855.0,0.4485923945903778,41,cup,203
1.0,19.0,522.0,836.0,0.28011536598205566,0,person,204
677.0,702.0,852.0,862.0,0.5652515292167664,41,cup,204
658.0,711.0,831.0,861.0,0.3877580165863037,41,cup,205
134.0,614.0,203.0,683.0,0.3348340094089508,74,clock,206
641.0,714.0,813.0,857.0,0.6488163471221924,41,cup,206
134.0,614.0,203.0,683.0,0.3129431903362274,74,clock,207
