xmin,ymin,xmax,ymax,confidence,class,name,time
16.0,14.0,1090.0,854.0,0.4018932580947876,6,train,5
16.0,15.0,1090.0,856.0,0.3826887011528015,6,train,6
278.0,0.0,437.0,337.0,0.29158926010131836,0,person,16
229.0,0.0,390.0,448.0,0.25388744473457336,0,person,21
240.0,0.0,378.0,317.0,0.34804627299308777,0,person,26
244.0,0.0,378.0,317.0,0.42271098494529724,0,person,27
1076.0,0.0,1149.0,193.0,0.3842809498310089,0,person,67
699.0,19.0,962.0,561.0,0.2855762541294098,0,person,68
1075.0,535.0,1149.0,858.0,0.2925417721271515,0,person,76
1008.0,188.0,1147.0,271.0,0.25317782163619995,14,bird,83
216.0,49.0,379.0,578.0,0.30113711953163147,0,person,94
1.0,42.0,105.0,720.0,0.4719271659851074,0,person,103
1.0,60.0,100.0,681.0,0.27498939633369446,0,person,109
0.0,117.0,90.0,461.0,0.49477607011795044,0,person,122
0.0,117.0,90.0,460.0,0.46814435720443726,0,person,123
62.0,108.0,171.0,444.0,0.5070171356201172,0,person,125
63.0,109.0,171.0,445.0,0.4794807732105255,0,person,126
91.0,82.0,199.0,417.0,0.5578061938285828,0,person,127
112.0,18.0,215.0,366.0,0.4800783395767212,0,person,130
102.0,1.0,217.0,342.0,0.28332579135894775,0,person,131
103.0,4.0,218.0,369.0,0.3103409707546234,0,person,132
97.0,0.0,216.0,341.0,0.4291929006576538,0,person,133
83.0,16.0,200.0,377.0,0.6005698442459106,0,person,134
83.0,16.0,199.0,377.0,0.5986841320991516,0,person,135
2.0,536.0,361.0,861.0,0.31975752115249634,25,umbrella,308
2.0,536.0,361.0,861.0,0.3216131925582886,25,umbrella,309
1106.0,738.0,1150.0,861.0,0.26717519760131836,0,person,360
961.0,812.0,1033.0,862.0,0.3870449960231781,0,person,362
961.0,812.0,1033.0,862.0,0.4102875292301178,0,person,363
1059.0,72.0,1149.0,207.0,0.2794322073459625,0,person,368
754.0,736.0,845.0,859.0,0.2606176733970642,0,person,371
755.0,736.0,846.0,859.0,0.27694958448410034,0,person,372
760.0,645.0,961.0,862.0,0.273651659488678,0,person,419
617.0,716.0,814.0,862.0,0.3901090919971466,0,person,419
617.0,714.0,814.0,862.0,0.3414362072944641,0,person,420
617.0,714.0,816.0,862.0,0.2568027973175049,0,person,421
611.0,665.0,969.0,861.0,0.2538597285747528,0,person,422
611.0,665.0,970.0,861.0,0.26220279932022095,0,person,423
611.0,662.0,969.0,861.0,0.30980607867240906,0,person,424
752.0,655.0,965.0,862.0,0.32498589158058167,0,person,425
614.0,736.0,808.0,861.0,0.3392621576786041,0,person,425
749.0,655.0,964.0,862.0,0.30570074915885925,0,person,426
614.0,735.0,809.0,861.0,0.3304237127304077,0,person,426
